pod	metric	value
otelcol-sbrev0-ctr-2t66h	otelcol_process_runtime_total_sys_memory_bytes	283212104
otelcol-sbrev0-ctr-2t66h	otelcol_processor_accepted_spans	3080421
otelcol-sbrev0-ctr-2t66h	otelcol_exporter_sent_spans	3080421
otelcol-sbrev0-ctr-2t66h	otelcol_receiver_refused_spans	107521
otelcol-sbrev0-ctr-2t66h	otelcol_processor_refused_spans	107521
otelcol-sbrev0-ctr-2t66h	otelcol_process_runtime_total_alloc_bytes	2708731520
otelcol-sbrev0-ctr-2t66h	otelcol_exporter_queue_size	0
otelcol-sbrev0-ctr-2t66h	otelcol_processor_incoming_items	3187942
otelcol-sbrev0-ctr-2t66h	otelcol_process_runtime_heap_alloc_bytes	50608552
otelcol-sbrev0-ctr-2t66h	otelcol_receiver_accepted_spans	3080421
otelcol-sbrev0-ctr-2t66h	otelcol_processor_batch_batch_send_size_sum	3080421
otelcol-sbrev0-ctr-2t66h	otelcol_receiver_failed_spans	0
otelcol-sbrev0-ctr-2t66h	otelcol_exporter_queue_batch_send_size_sum	3080421
otelcol-sbrev0-ctr-2t66h	otelcol_processor_batch_metadata_cardinality	1
otelcol-sbrev0-ctr-2t66h	otelcol_exporter_queue_capacity	1001
otelcol-sbrev0-ctr-2t66h	otelcol_processor_batch_timeout_trigger_send	5496
otelcol-sbrev0-ctr-2t66h	otelcol_process_uptime	1950
otelcol-sbrev0-ctr-2t66h	otelcol_processor_outgoing_items	3080421
otelcol-sbrev0-ctr-2t66h	otelcol_processor_batch_batch_size_trigger_send	9
otelcol-sbrev0-ctr-2t66h	otelcol_process_cpu_seconds	71
otelcol-sbrev0-ctr-2t66h	otelcol_process_memory_rss	227328000
otelcol-sbrev0-ctr-2t66h	otelcol_exporter_send_failed_spans	0
otelcol-sbrev0-ctr-tv7w7	otelcol_processor_accepted_spans	22421892
otelcol-sbrev0-ctr-tv7w7	otelcol_exporter_sent_spans	22421892
otelcol-sbrev0-ctr-tv7w7	otelcol_exporter_queue_size	0
